"Statistic Label","Census Year","Type of Accommodation","CSO Electoral Divisions 2022","UNIT","VALUE"
"Private households","2022","House/Bungalow","Arran Quay A, Dublin City","Number","476"
"Private households","2022","House/Bungalow","Arran Quay B, Dublin City","Number","420"
"Private households","2022","House/Bungalow","Arran Quay C, Dublin City","Number","153"
"Private households","2022","House/Bungalow","Arran Quay D, Dublin City","Number","874"
"Private households","2022","House/Bungalow","Arran Quay E, Dublin City","Number","1206"
"Private households","2022","House/Bungalow","Ashtown A, Dublin City","Number","2565"
"Private households","2022","House/Bungalow","Ashtown B, Dublin City","Number","907"
"Private households","2022","House/Bungalow","Ayrfield, Dublin City","Number","1529"
"Private households","2022","House/Bungalow","Ballybough A, Dublin City","Number","901"
"Private households","2022","House/Bungalow","Ballybough B, Dublin City","Number","638"
"Private households","2022","House/Bungalow","Ballygall A, Dublin City","Number","882"
"Private households","2022","House/Bungalow","Ballygall B, Dublin City","Number","617"
"Private households","2022","House/Bungalow","Ballygall C, Dublin City","Number","1258"
"Private households","2022","House/Bungalow","Ballygall D, Dublin City","Number","908"
"Private households","2022","House/Bungalow","Ballymun A, Dublin City","Number","1117"
"Private households","2022","House/Bungalow","Ballymun B, Dublin City","Number","1113"
"Private households","2022","House/Bungalow","Ballymun C, Dublin City","Number","1567"
"Private households","2022","House/Bungalow","Ballymun D, Dublin City","Number","714"
"Private households","2022","House/Bungalow","Ballymun E, Dublin City","Number","597"
"Private households","2022","House/Bungalow","Ballymun F, Dublin City","Number","882"
"Private households","2022","House/Bungalow","Beaumont A, Dublin City","Number","1007"
"Private households","2022","House/Bungalow","Beaumont B, Dublin City","Number","1270"
"Private households","2022","House/Bungalow","Beaumont C, Dublin City","Number","1081"
"Private households","2022","House/Bungalow","Beaumont D, Dublin City","Number","753"
"Private households","2022","House/Bungalow","Beaumont E, Dublin City","Number","760"
"Private households","2022","House/Bungalow","Beaumont F, Dublin City","Number","1260"
"Private households","2022","House/Bungalow","Botanic A, Dublin City","Number","826"
"Private households","2022","House/Bungalow","Botanic B, Dublin City","Number","983"
"Private households","2022","House/Bungalow","Botanic C, Dublin City","Number","644"
"Private households","2022","House/Bungalow","Cabra East A, Dublin City","Number","1357"
"Private households","2022","House/Bungalow","Cabra East B, Dublin City","Number","1342"
"Private households","2022","House/Bungalow","Cabra East C, Dublin City","Number","910"
"Private households","2022","House/Bungalow","Cabra West A, Dublin City","Number","532"
"Private households","2022","House/Bungalow","Cabra West B, Dublin City","Number","911"
"Private households","2022","House/Bungalow","Cabra West C, Dublin City","Number","1019"
"Private households","2022","House/Bungalow","Cabra West D, Dublin City","Number","852"
"Private households","2022","House/Bungalow","Carna, Dublin City","Number","991"
"Private households","2022","House/Bungalow","Chapelizod, Dublin City","Number","613"
"Private households","2022","House/Bungalow","Cherry Orchard A, Dublin City","Number","429"
"Private households","2022","House/Bungalow","Cherry Orchard C, Dublin City","Number","1045"
"Private households","2022","House/Bungalow","Clontarf East A, Dublin City","Number","1134"
"Private households","2022","House/Bungalow","Clontarf East B, Dublin City","Number","2104"
"Private households","2022","House/Bungalow","Clontarf East C, Dublin City","Number","937"
"Private households","2022","House/Bungalow","Clontarf East D, Dublin City","Number","884"
"Private households","2022","House/Bungalow","Clontarf East E, Dublin City","Number","530"
"Private households","2022","House/Bungalow","Clontarf West A, Dublin City","Number","1265"
"Private households","2022","House/Bungalow","Clontarf West B, Dublin City","Number","955"
"Private households","2022","House/Bungalow","Clontarf West C, Dublin City","Number","885"
"Private households","2022","House/Bungalow","Clontarf West D, Dublin City","Number","779"
"Private households","2022","House/Bungalow","Clontarf West E, Dublin City","Number","913"
"Private households","2022","House/Bungalow","Crumlin A, Dublin City","Number","1362"
"Private households","2022","House/Bungalow","Crumlin B, Dublin City","Number","1147"
"Private households","2022","House/Bungalow","Crumlin C, Dublin City","Number","788"
"Private households","2022","House/Bungalow","Crumlin D, Dublin City","Number","1473"
"Private households","2022","House/Bungalow","Crumlin E, Dublin City","Number","1077"
"Private households","2022","House/Bungalow","Crumlin F, Dublin City","Number","1034"
"Private households","2022","House/Bungalow","Decies, Dublin City","Number","1056"
"Private households","2022","House/Bungalow","Drumcondra South A, Dublin City","Number","1295"
"Private households","2022","House/Bungalow","Drumcondra South B, Dublin City","Number","361"
"Private households","2022","House/Bungalow","Drumcondra South C, Dublin City","Number","1202"
"Private households","2022","House/Bungalow","Drumfinn, Dublin City","Number","1274"
"Private households","2022","House/Bungalow","Edenmore, Dublin City","Number","907"
"Private households","2022","House/Bungalow","Finglas North A, Dublin City","Number","1118"
