Territory,County,Address,Nr. Chargers,Max. Sim. CCS,Max. Sim. CHAdeMo,Max. Sim. Fast AC,Max. Sim. AC Socket,CCS kWs,CHAdeMO kWs,AC Fast kWs,AC Socket kWs,Latitude,Longitude,Open Hours,Road / Route / Exit,Latest Change
RoI,Carlow,"The Parade, Bagenalstown",1,0,0,0,2,,,,22(2),52.702794,-6.955983,24 x 7,,
RoI,Carlow,"Tesco Carlow, Fairgreen Shopping Centre, Carlow, Carlow",1,0,0,0,2,,,,22(2),52.8346717,-6.9221169,24 x 7,,
RoI,Carlow,"Four Lakes Retail Park, Dublin Road, Carlow Town",1,1,1,1,0,50,50,43,,52.846593,-6.902268,24 x 7,,
RoI,Carlow,"Irish Rail, Railway Road, Carlow Town",1,0,0,0,2,,,,22(2),52.841045,-6.923077,24 x 7,,
RoI,Carlow,"Town Hall Car Park, Off Barrow Track, Carlow Town",1,0,0,0,2,,,,22(2),52.837679,-6.933489,24 x 7,,
RoI,Carlow,"Public Car Park, Kennedy Street, Carlow Town",1,0,0,0,2,,,,22(2),52.836223,-6.933315,24 x 7,,
RoI,Carlow,"Hanover Bus Car Park, Barrack Street, Carlow Town",2,4,0,0,0,100(4),,,,52.833492,-6.927016,24 x 7,,
RoI,Carlow,"Inner Relief Road, Tullow",1,0,0,0,2,,,,22(2),52.801581,-6.736986,24 x 7,,
RoI,Carlow,"Tesco Tullow, Abbey St, Templeowen, Tullow",1,0,0,0,2,,,,22(2),52.8006068,-6.7384426,24 x 7,,
RoI,Cavan,"Main Street, Bailieborough",1,0,0,0,2,,,,22(2),53.917571,-6.972487,24 x 7,,
RoI,Cavan,"Tesco Superstore, Thomas St, Beckscourt, Bailieborough, Co. Cavan, Bailieborough",1,0,0,0,2,,,,22(2),53.9174916,-6.9682985,24 x 7,,
RoI,Cavan,"The Grove, Ballyjamesduff",1,0,0,0,2,,,,22(2),53.86385,-7.204457,24 x 7,,
RoI,Cavan,"Off Farnham Street, Cavan Circuit Court Carpark, Cavan Town",1,1,1,0,1,50,50,,22,53.9935795,-7.3613269,24 x 7,,
RoI,Cavan,"Dublin Road, Cavan Town",1,0,0,0,2,,,,22(2),53.985547,-7.359682,24 x 7,,
RoI,Cavan,"Market Street, Cootehill",1,0,0,0,2,,,,22(2),54.075084,-7.079692,24 x 7,,
RoI,Cavan,"Cavan Townhall, Townhall Street",1,2,0,0,0,100(2),,,,53.9912747,-7.3623298,24 x 7,,
RoI,Clare,"Public Car Park, Off Abbey Street & Bank Place, Ennis",1,0,0,0,2,,,,22(2),52.845081,-8.98337,24 x 7,,
RoI,Clare,"Circle K Ennis, Limerick Road, Ennis",1,1,1,1,0,50,50,43,,52.83078,-8.979003,24 x 7,,
RoI,Clare,"Public Car Park, East End, Kilkee",1,1,1,0,0,100,50,,,52.683379,-9.647069,24 x 7,,
RoI,Clare,"Tesco Kilrush,Ennis Rd, Kilrush Co. Clare, Kilrush",1,0,0,0,2,,,,22(2),52.6422857,-9.4773106,24 x 7,,
RoI,Clare,"Frances Street, Kilrush",1,2,0,0,0,100(2),,,,52.636192,-9.490203,24 x 7,,
RoI,Clare,"Public Car Park, N67/Milltown Malbay Road, Lahinch",1,1,1,0,1,50,50,,22,52.928911,-9.346292,24 x 7,N67 N67,
RoI,Clare,"Hydro Hotel, Main Street, Lisdoonvarna",1,0,0,0,2,,,,22(2),53.027069,-9.290289,24 x 7,,
RoI,Clare,"Supervalu Car Park, Ennis Road, Miltown Malbay",1,0,0,0,2,,,,22(2),52.854144,-9.398487,24 x 7,,
RoI,Clare,"Ennis Road, Newmarket-on-Fergus",1,0,0,0,2,,,,22(2),52.761544,-8.897258,24 x 7,,
RoI,Clare,"Circle K Service Station, Airport Road, Tullyvaragh, Shannon",1,1,1,1,0,50,50,43,,52.712696,-8.8757681,24 x 7,,
RoI,Clare,"Shannon Town Centre,Bealach Bri, Shannon, V14 VH27",1,0,0,0,2,,,,22(2),52.7081663,-8.8771276,24 x 7,,
RoI,Clare,"The Green, Sixmilebridge",1,0,0,0,2,,,,22(2),52.741566,-8.775394,24 x 7,,
RoI,Cork,"Ballymodan Car Park, Bandon",1,0,0,0,2,,,,22(2),51.744085,-8.739443,24 x 7,,
RoI,Cork,"Hernons Great Gas, Bypass Road, Bandon",1,1,1,1,0,50,50,43,,51.741434,-8.728538,Mon:07:00-22:00 Tue:07:00-22:00 Wed:07:00-22:00 Thu:07:00-22:00 Fri:07:00-22:00 Sat:07:00-22:00 Sun:07:30-21:00,,
RoI,Cork,"Harbour View Car Park, Wolfe Tone Square, Bantry",1,0,0,0,2,,,,22(2),51.681417,-9.456825,24 x 7,,
RoI,Cork,"Castle Close Road, Blarney",1,0,0,0,2,,,,22(2),51.931807,-8.566211,24 x 7,,
RoI,Cork,"Owenabue Car Park, Off Main Street & Eastern Relief Road, Carrigaline",1,0,0,0,2,,,,22(2),51.814197,-8.389447,24 x 7,,
RoI,Cork,"The Square, Castletownbere",1,0,0,0,2,,,,22(2),51.650662,-9.910673,24 x 7,,
RoI,Cork,"The Turrets, Off Main Street, Charleville",1,0,0,0,2,,,,22(2),52.358365,-8.686061,24 x 7,,
RoI,Cork,"Irish Rail Station, Railway Road, Charleville",1,0,0,0,2,,,,22(2),52.346839,-8.65417,24 x 7,,
