Year,Total_Value,Cumulative_Total,Band  A,Band  B,Band  C,Band  D,Band  E,Band  F,Band  G,Not available,Band  A_cumulative,Band  B_cumulative,Band  C_cumulative,Band  D_cumulative,Band  E_cumulative,Band  F_cumulative,Band  G_cumulative,Not available_cumulative,Band  A_percent,Band  B_percent,Band  C_percent,Band  D_percent,Band  E_percent,Band  F_percent,Band  G_percent,Not available_percent,Band  A_total_percent,Band  B_total_percent,Band  C_total_percent,Band  D_total_percent,Band  E_total_percent,Band  F_total_percent,Band  G_total_percent,Not available_total_percent
1998,63114.0,63114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1999,71848.0,134962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2000,85114.0,220076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2001,65322.0,285398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2002,58421.0,343819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2003,54459.0,398278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2004,55855.0,454133.0,573.0,1371.0,3702.0,3845.0,3694.0,1857.0,1537.0,39276.0,573.0,1371.0,3702.0,3845.0,3694.0,1857.0,1537.0,437554.0,1.0258705576940292,2.454569868409274,6.627875749709069,6.883895801629218,6.613552949601647,3.3246799749351,2.7517679706382596,70.3177871273834,0.12617449073289103,0.3018939385598492,0.8151796940543848,0.846668266785281,0.8134180955799292,0.4089110458830343,0.3384471069048054,96.34930736149983
2005,64895.0,519028.0,684.0,5366.0,12254.0,13844.0,13788.0,5997.0,3760.0,9202.0,1257.0,6737.0,15956.0,17689.0,17482.0,7854.0,5297.0,446756.0,1.0540103243701364,8.268741813699053,18.88281069419832,21.3329224131289,21.246629170198013,9.24108174743817,5.793974882502504,14.179828954464904,0.24218346601724763,1.2980031905793137,3.0742079425387456,3.408101297039851,3.3682190556193503,1.5132131599836618,1.0205615111323474,86.07551037708949
2006,69054.0,588082.0,1054.0,6050.0,14099.0,11400.0,13360.0,6386.0,3354.0,13351.0,2311.0,12787.0,30055.0,29089.0,30842.0,14240.0,8651.0,460107.0,1.5263417035942886,8.761259304312567,20.41735453413271,16.50881918498566,19.34717757117618,9.247835027659512,4.857068381266835,19.334144292872246,0.3929724086096837,2.1743566373396908,5.110681843688465,4.94641903680099,5.244506718450828,2.4214310249250954,1.471053356504705,78.23857897368055
2007,71403.0,659485.0,764.0,8201.0,13057.0,13016.0,13258.0,5851.0,3201.0,14055.0,3075.0,20988.0,43112.0,42105.0,44100.0,20091.0,11852.0,474162.0,1.069983053933308,11.485511813229136,18.286346512051313,18.228925955492066,18.56784728932958,8.194333571418568,4.4830049157598415,19.684046888786185,0.46627292508548335,3.1824833013639435,6.537222226434262,6.38452732056074,6.687036096347907,3.046468077363397,1.797159905077447,71.89883014776683
