"STATISTIC Label","Year","Type of Vehicle Registration","Type of Fuel","UNIT","VALUE"
"New Vehicles Licensed for the First Time","2015","All Vehicles","All fuel types","Number","153850"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Petrol","Number","35110"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Diesel","Number","116623"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Other fuel types","Number","6"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Petrol and electric hybrid","Number","1402"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Electric","Number","497"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Petrol or Diesel plug-in hybrid electric","Number","123"
"New Vehicles Licensed for the First Time","2015","All Vehicles","Diesel and electric hybrid","Number","89"
"New Vehicles Licensed for the First Time","2015","New Private Cars","All fuel types","Number","121110"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Petrol","Number","32963"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Diesel","Number","86103"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Other fuel types","Number","6"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Petrol and electric hybrid","Number","1354"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Electric","Number","476"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Petrol or Diesel plug-in hybrid electric","Number","122"
"New Vehicles Licensed for the First Time","2015","New Private Cars","Diesel and electric hybrid","Number","86"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","All fuel types","Number","22939"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Petrol","Number","2"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Diesel","Number","22924"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Electric","Number","12"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Petrol or Diesel plug-in hybrid electric","Number","1"
"New Vehicles Licensed for the First Time","2015","New Goods Vehicles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Tractors","All fuel types","Number","1986"
"New Vehicles Licensed for the First Time","2015","New Tractors","Petrol","Number","2"
"New Vehicles Licensed for the First Time","2015","New Tractors","Diesel","Number","1984"
"New Vehicles Licensed for the First Time","2015","New Tractors","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2015","New Tractors","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Tractors","Electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Tractors","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Tractors","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","All fuel types","Number","1244"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Petrol","Number","1237"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Diesel","Number","2"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Electric","Number","5"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Motor Cycles","Diesel and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","All fuel types","Number","5234"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Petrol","Number","896"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Diesel","Number","4288"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Petrol and electric hybrid","Number","48"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Exempt Vehicles","Diesel and electric hybrid","Number","2"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","All fuel types","Number","761"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Petrol","Number","5"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Diesel","Number","753"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Other fuel types","Number","0"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Petrol and electric hybrid","Number","0"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Electric","Number","2"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Petrol or Diesel plug-in hybrid electric","Number","0"
"New Vehicles Licensed for the First Time","2015","New Public Service Vehicles","Diesel and electric hybrid","Number","1"
"New Vehicles Licensed for the First Time","2015","New Small Public Service Vehicles","All fuel types","Number","343"
"New Vehicles Licensed for the First Time","2015","New Small Public Service Vehicles","Petrol","Number","5"
