"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2010","New Private Cars","All fuel types","Number","84907"
"New and Secondhand Vehicles","2010","New Private Cars","Petrol","Number","27124"
"New and Secondhand Vehicles","2010","New Private Cars","Diesel","Number","53998"
"New and Secondhand Vehicles","2010","New Private Cars","Other fuel types","Number","3049"
"New and Secondhand Vehicles","2010","New Private Cars","Electric","Number","23"
"New and Secondhand Vehicles","2010","New Private Cars","Hybrid","Number","713"
"New and Secondhand Vehicles","2010","New Goods Vehicles","All fuel types","Number","10510"
"New and Secondhand Vehicles","2010","New Goods Vehicles","Petrol","Number","7"
"New and Secondhand Vehicles","2010","New Goods Vehicles","Diesel","Number","10483"
"New and Secondhand Vehicles","2010","New Goods Vehicles","Other fuel types","Number","1"
"New and Secondhand Vehicles","2010","New Goods Vehicles","Electric","Number","17"
"New and Secondhand Vehicles","2010","New Goods Vehicles","Hybrid","Number","2"
"New and Secondhand Vehicles","2010","New Tractors","All fuel types","Number","1359"
"New and Secondhand Vehicles","2010","New Tractors","Petrol","Number","10"
"New and Secondhand Vehicles","2010","New Tractors","Diesel","Number","1349"
"New and Secondhand Vehicles","2010","New Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2010","New Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2010","New Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2010","New Motor Cycles","All fuel types","Number","1321"
"New and Secondhand Vehicles","2010","New Motor Cycles","Petrol","Number","1296"
"New and Secondhand Vehicles","2010","New Motor Cycles","Diesel","Number","3"
"New and Secondhand Vehicles","2010","New Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2010","New Motor Cycles","Electric","Number","22"
"New and Secondhand Vehicles","2010","New Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2010","New Other Vehicles","All fuel types","Number","4979"
"New and Secondhand Vehicles","2010","New Other Vehicles","Petrol","Number","1231"
"New and Secondhand Vehicles","2010","New Other Vehicles","Diesel","Number","3711"
"New and Secondhand Vehicles","2010","New Other Vehicles","Other fuel types","Number","9"
"New and Secondhand Vehicles","2010","New Other Vehicles","Electric","Number","4"
"New and Secondhand Vehicles","2010","New Other Vehicles","Hybrid","Number","24"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","All fuel types","Number","39103"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","Petrol","Number","10810"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","Diesel","Number","27789"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","Other fuel types","Number","7"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","Electric","Number","0"
"New and Secondhand Vehicles","2010","Secondhand Private Cars","Hybrid","Number","497"
