"Statistic Label","Month","Licensing Authority","Type of Fuel","UNIT","VALUE"
"New Private Cars","2021 January","All licensing authorities","All fuel types","Number","16948"
"New Private Cars","2021 January","All licensing authorities","Petrol","Number","5557"
"New Private Cars","2021 January","All licensing authorities","Diesel","Number","5801"
"New Private Cars","2021 January","All licensing authorities","Other fuel types","Number","9"
"New Private Cars","2021 January","All licensing authorities","Petrol and electric hybrid","Number","3605"
"New Private Cars","2021 January","All licensing authorities","Electric","Number","739"
"New Private Cars","2021 January","All licensing authorities","Petrol or Diesel plug-in hybrid electric","Number","827"
"New Private Cars","2021 January","All licensing authorities","Diesel and electric hybrid","Number","410"
"New Private Cars","2021 January","Carlow","All fuel types","Number","249"
"New Private Cars","2021 January","Carlow","Petrol","Number","69"
"New Private Cars","2021 January","Carlow","Diesel","Number","118"
"New Private Cars","2021 January","Carlow","Other fuel types","Number",""
"New Private Cars","2021 January","Carlow","Petrol and electric hybrid","Number","29"
"New Private Cars","2021 January","Carlow","Electric","Number","17"
"New Private Cars","2021 January","Carlow","Petrol or Diesel plug-in hybrid electric","Number","12"
"New Private Cars","2021 January","Carlow","Diesel and electric hybrid","Number","4"
"New Private Cars","2021 January","Cavan","All fuel types","Number","236"
"New Private Cars","2021 January","Cavan","Petrol","Number","48"
"New Private Cars","2021 January","Cavan","Diesel","Number","125"
"New Private Cars","2021 January","Cavan","Other fuel types","Number",""
"New Private Cars","2021 January","Cavan","Petrol and electric hybrid","Number","42"
"New Private Cars","2021 January","Cavan","Electric","Number","10"
"New Private Cars","2021 January","Cavan","Petrol or Diesel plug-in hybrid electric","Number","8"
"New Private Cars","2021 January","Cavan","Diesel and electric hybrid","Number","3"
"New Private Cars","2021 January","Clare","All fuel types","Number","436"
"New Private Cars","2021 January","Clare","Petrol","Number","133"
"New Private Cars","2021 January","Clare","Diesel","Number","168"
"New Private Cars","2021 January","Clare","Other fuel types","Number",""
"New Private Cars","2021 January","Clare","Petrol and electric hybrid","Number","95"
"New Private Cars","2021 January","Clare","Electric","Number","14"
"New Private Cars","2021 January","Clare","Petrol or Diesel plug-in hybrid electric","Number","12"
"New Private Cars","2021 January","Clare","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 January","Donegal","All fuel types","Number","396"
"New Private Cars","2021 January","Donegal","Petrol","Number","108"
"New Private Cars","2021 January","Donegal","Diesel","Number","165"
"New Private Cars","2021 January","Donegal","Other fuel types","Number",""
"New Private Cars","2021 January","Donegal","Petrol and electric hybrid","Number","67"
"New Private Cars","2021 January","Donegal","Electric","Number","12"
"New Private Cars","2021 January","Donegal","Petrol or Diesel plug-in hybrid electric","Number","24"
"New Private Cars","2021 January","Donegal","Diesel and electric hybrid","Number","20"
"New Private Cars","2021 January","Galway","All fuel types","Number","672"
"New Private Cars","2021 January","Galway","Petrol","Number","186"
"New Private Cars","2021 January","Galway","Diesel","Number","277"
"New Private Cars","2021 January","Galway","Other fuel types","Number",""
"New Private Cars","2021 January","Galway","Petrol and electric hybrid","Number","155"
"New Private Cars","2021 January","Galway","Electric","Number","27"
"New Private Cars","2021 January","Galway","Petrol or Diesel plug-in hybrid electric","Number","15"
"New Private Cars","2021 January","Galway","Diesel and electric hybrid","Number","12"
"New Private Cars","2021 January","Kerry","All fuel types","Number","426"
"New Private Cars","2021 January","Kerry","Petrol","Number","113"
"New Private Cars","2021 January","Kerry","Diesel","Number","194"
"New Private Cars","2021 January","Kerry","Other fuel types","Number",""
"New Private Cars","2021 January","Kerry","Petrol and electric hybrid","Number","72"
"New Private Cars","2021 January","Kerry","Electric","Number","15"
"New Private Cars","2021 January","Kerry","Petrol or Diesel plug-in hybrid electric","Number","18"
"New Private Cars","2021 January","Kerry","Diesel and electric hybrid","Number","14"
"New Private Cars","2021 January","Kildare","All fuel types","Number","867"
"New Private Cars","2021 January","Kildare","Petrol","Number","324"
"New Private Cars","2021 January","Kildare","Diesel","Number","258"
"New Private Cars","2021 January","Kildare","Other fuel types","Number",""
"New Private Cars","2021 January","Kildare","Petrol and electric hybrid","Number","174"
"New Private Cars","2021 January","Kildare","Electric","Number","35"
"New Private Cars","2021 January","Kildare","Petrol or Diesel plug-in hybrid electric","Number","46"
"New Private Cars","2021 January","Kildare","Diesel and electric hybrid","Number","30"
"New Private Cars","2021 January","Kilkenny","All fuel types","Number","418"
"New Private Cars","2021 January","Kilkenny","Petrol","Number","124"
"New Private Cars","2021 January","Kilkenny","Diesel","Number","179"
"New Private Cars","2021 January","Kilkenny","Other fuel types","Number",""
"New Private Cars","2021 January","Kilkenny","Petrol and electric hybrid","Number","80"
"New Private Cars","2021 January","Kilkenny","Electric","Number","13"
"New Private Cars","2021 January","Kilkenny","Petrol or Diesel plug-in hybrid electric","Number","5"
