"Engine Capacity cc","Car Make","Emission Band","Licensing Authority","Year","Statistic Label","UNIT","VALUE"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","1998","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","1998","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","1999","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","1999","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2000","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2000","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2001","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2001","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2002","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2002","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2003","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2003","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2004","New Private Cars","Number","47"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2004","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2005","New Private Cars","Number","118"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2005","Second Hand Private Cars","Number","1"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2006","New Private Cars","Number","128"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2006","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2007","New Private Cars","Number","98"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2007","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2008","New Private Cars","Number","265"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2008","Second Hand Private Cars","Number","20"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2009","New Private Cars","Number","302"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2009","Second Hand Private Cars","Number","66"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2010","New Private Cars","Number","1293"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2010","Second Hand Private Cars","Number","153"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2011","New Private Cars","Number","1577"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2011","Second Hand Private Cars","Number","230"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2012","New Private Cars","Number","1624"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2012","Second Hand Private Cars","Number","229"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2013","New Private Cars","Number","1691"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","2013","Second Hand Private Cars","Number","537"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","1998","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","1998","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","1999","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","1999","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2000","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2000","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2001","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2001","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2002","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2002","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2003","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2003","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2004","New Private Cars","Number","30"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2004","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2005","New Private Cars","Number","68"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2005","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2006","New Private Cars","Number","100"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2006","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2007","New Private Cars","Number","102"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2007","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2008","New Private Cars","Number","176"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2008","Second Hand Private Cars","Number","11"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2009","New Private Cars","Number","209"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2009","Second Hand Private Cars","Number","47"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2010","New Private Cars","Number","760"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2010","Second Hand Private Cars","Number","106"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2011","New Private Cars","Number","812"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2011","Second Hand Private Cars","Number","112"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2012","New Private Cars","Number","867"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2012","Second Hand Private Cars","Number","148"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2013","New Private Cars","Number","945"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","2013","Second Hand Private Cars","Number","285"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","1998","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","1998","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","1999","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","1999","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2000","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2000","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2001","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2001","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2002","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2002","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2003","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2003","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2004","New Private Cars","Number","573"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2004","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2005","New Private Cars","Number","683"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2005","Second Hand Private Cars","Number","1"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2006","New Private Cars","Number","1053"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2006","Second Hand Private Cars","Number","1"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2007","New Private Cars","Number","761"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2007","Second Hand Private Cars","Number","3"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2008","New Private Cars","Number","1515"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2008","Second Hand Private Cars","Number","154"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2009","New Private Cars","Number","1963"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2009","Second Hand Private Cars","Number","434"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2010","New Private Cars","Number","7840"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2010","Second Hand Private Cars","Number","885"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2011","New Private Cars","Number","10529"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2011","Second Hand Private Cars","Number","922"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2012","New Private Cars","Number","14409"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2012","Second Hand Private Cars","Number","1091"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2013","New Private Cars","Number","16822"
"All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin City & County","2013","Second Hand Private Cars","Number","2493"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","1998","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","1998","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","1999","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","1999","Second Hand Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2000","New Private Cars","Number","0"
"All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","2000","Second Hand Private Cars","Number","0"
