"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","4019"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","2204"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","34166"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","994"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","575"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","9680"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","190"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","99"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1280"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","58"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","20"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","436"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","45"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","23"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","533"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","9"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","8"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","87"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","2"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","2"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","12"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","1"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","1"
"New Private Cars","2017","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","11"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","3841"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","2052"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","31408"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1144"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","635"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","10176"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","236"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","125"
"New Private Cars","2018","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","1862"
