"STATISTIC Label","Month","Taxation Class","UNIT","VALUE"
"Vehicles Licensed for the First Time","1996 July","All Vehicles","Number","18011"
"Vehicles Licensed for the First Time","1996 July","New Vehicles","Number","13169"
"Vehicles Licensed for the First Time","1996 July","New Private Cars","Number","10959"
"Vehicles Licensed for the First Time","1996 July","New Goods Vehicles","Number","1430"
"Vehicles Licensed for the First Time","1996 July","New Tractors","Number","172"
"Vehicles Licensed for the First Time","1996 July","New Motor Cycles","Number","263"
"Vehicles Licensed for the First Time","1996 July","New Exempt Vehicles","Number","215"
"Vehicles Licensed for the First Time","1996 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","130"
"Vehicles Licensed for the First Time","1996 July","Secondhand Vehicles","Number","4842"
"Vehicles Licensed for the First Time","1996 July","Secondhand Private Cars","Number","3716"
"Vehicles Licensed for the First Time","1996 July","Secondhand Goods Vehicles","Number","388"
"Vehicles Licensed for the First Time","1996 July","Secondhand Tractors","Number","329"
"Vehicles Licensed for the First Time","1996 July","Secondhand Other Vehicles","Number","409"
"Vehicles Licensed for the First Time","1996 July","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1996 August","All Vehicles","Number","12724"
"Vehicles Licensed for the First Time","1996 August","New Vehicles","Number","8362"
"Vehicles Licensed for the First Time","1996 August","New Private Cars","Number","6582"
"Vehicles Licensed for the First Time","1996 August","New Goods Vehicles","Number","1106"
"Vehicles Licensed for the First Time","1996 August","New Tractors","Number","129"
"Vehicles Licensed for the First Time","1996 August","New Motor Cycles","Number","250"
"Vehicles Licensed for the First Time","1996 August","New Exempt Vehicles","Number","185"
"Vehicles Licensed for the First Time","1996 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","110"
"Vehicles Licensed for the First Time","1996 August","Secondhand Vehicles","Number","4362"
"Vehicles Licensed for the First Time","1996 August","Secondhand Private Cars","Number","3433"
"Vehicles Licensed for the First Time","1996 August","Secondhand Goods Vehicles","Number","342"
"Vehicles Licensed for the First Time","1996 August","Secondhand Tractors","Number","255"
"Vehicles Licensed for the First Time","1996 August","Secondhand Other Vehicles","Number","332"
"Vehicles Licensed for the First Time","1996 August","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1996 September","All Vehicles","Number","11274"
"Vehicles Licensed for the First Time","1996 September","New Vehicles","Number","6737"
"Vehicles Licensed for the First Time","1996 September","New Private Cars","Number","5162"
"Vehicles Licensed for the First Time","1996 September","New Goods Vehicles","Number","1091"
"Vehicles Licensed for the First Time","1996 September","New Tractors","Number","96"
"Vehicles Licensed for the First Time","1996 September","New Motor Cycles","Number","194"
"Vehicles Licensed for the First Time","1996 September","New Exempt Vehicles","Number","101"
"Vehicles Licensed for the First Time","1996 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","93"
"Vehicles Licensed for the First Time","1996 September","Secondhand Vehicles","Number","4537"
"Vehicles Licensed for the First Time","1996 September","Secondhand Private Cars","Number","3608"
"Vehicles Licensed for the First Time","1996 September","Secondhand Goods Vehicles","Number","367"
"Vehicles Licensed for the First Time","1996 September","Secondhand Tractors","Number","216"
"Vehicles Licensed for the First Time","1996 September","Secondhand Other Vehicles","Number","346"
"Vehicles Licensed for the First Time","1996 September","Secondhand Motor Cycles","Number",""
"Vehicles Licensed for the First Time","1996 October","All Vehicles","Number","11449"
"Vehicles Licensed for the First Time","1996 October","New Vehicles","Number","6461"
"Vehicles Licensed for the First Time","1996 October","New Private Cars","Number","4815"
"Vehicles Licensed for the First Time","1996 October","New Goods Vehicles","Number","1081"
"Vehicles Licensed for the First Time","1996 October","New Tractors","Number","132"
"Vehicles Licensed for the First Time","1996 October","New Motor Cycles","Number","211"
"Vehicles Licensed for the First Time","1996 October","New Exempt Vehicles","Number","106"
